,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tambura,5.6,27.4667,71.22,41,75,4.03,SS,1639971071
1,Hithadhoo,-0.6,73.0833,82.15,76,90,7.18,MV,1639971071
2,Zaysan,47.4667,84.8667,26.1,88,100,2.48,KZ,1639971072
3,Kahului,20.8947,-156.47,74.46,92,75,16.11,US,1639971072
4,Kutum,14.2,24.6667,54.82,32,0,6.31,SD,1639971072
5,Esperance,-33.8667,121.9,80.44,49,38,11.41,AU,1639971038
6,Busselton,-33.65,115.3333,86.04,37,0,10.67,AU,1639971019
7,Hobart,-42.8794,147.3294,67.86,45,75,24.16,AU,1639971035
8,Buluang,13.3068,123.3425,84.6,73,59,1.14,PH,1639971073
9,Saskylakh,71.9167,114.0833,-7.44,98,100,10.16,RU,1639971074
10,Lumeje,-11.55,20.7833,65.23,96,100,3.96,AO,1639971074
11,Cape Town,-33.9258,18.4232,69.89,72,0,1.01,ZA,1639971074
12,Ushuaia,-54.8,-68.3,38.86,75,75,6.91,AR,1639971074
13,Lorengau,-2.0226,147.2712,83.37,80,100,12.12,PG,1639970924
14,Isangel,-19.55,169.2667,87.91,79,75,6.91,VU,1639971075
15,Atyrau,47.1167,51.8833,30.22,93,40,13.42,KZ,1639971075
16,Gorontalo,0.5412,123.0595,90.64,55,100,5.95,ID,1639971075
17,Vardø,70.3705,31.1107,28.35,67,100,22.62,NO,1639971076
18,Tasiilaq,65.6145,-37.6368,28.56,64,97,7.58,GL,1639971076
19,Rikitea,-23.1203,-134.9692,74.52,85,100,15.19,PF,1639971076
20,Sweetwater,25.7634,-80.3731,75.22,93,1,3.44,US,1639970807
21,Asău,46.4333,26.4,33.96,100,85,1.36,RO,1639971077
22,Tahoua,14.8888,5.2692,59.54,23,0,16.69,NE,1639971077
23,Bam,29.106,58.357,60.78,32,46,3.91,IR,1639971077
24,Lac du Bonnet,50.2536,-96.0612,7.95,88,78,12.82,CA,1639971078
25,Barrow,71.2906,-156.7887,8.62,78,90,34.52,US,1639971078
26,Yinchuan,38.4681,106.2731,37.54,16,0,3.89,CN,1639971079
27,Bredasdorp,-34.5322,20.0403,65.28,82,100,17.76,ZA,1639971079
28,Port Shepstone,-30.7414,30.455,65.8,82,0,9.84,ZA,1639971079
29,Bloemhof,-27.6469,25.607,61.61,76,55,4.85,ZA,1639971080
30,Comodoro Rivadavia,-45.8667,-67.5,53.46,66,0,9.22,AR,1639971080
31,Sucha Beskidzka,49.7419,19.5943,34.02,91,84,10.58,PL,1639971080
32,Belaya Rechka,43.4381,43.535,25.23,93,93,4.47,RU,1639971080
33,Hermanus,-34.4187,19.2345,66.9,78,97,19.62,ZA,1639971081
34,Tura,25.5198,90.2201,68.13,45,0,0.98,IN,1639971081
35,Clyde River,70.4692,-68.5914,10.63,92,100,14.97,CA,1639971081
36,Brae,60.3964,-1.353,39.11,67,100,3.31,GB,1639971081
37,Kapaa,22.0752,-159.319,80.58,83,90,5.01,US,1639971081
38,Arraial do Cabo,-22.9661,-42.0278,71.92,79,62,8.5,BR,1639971082
39,Vaini,-21.2,-175.2,86.16,84,75,10.36,TO,1639971082
40,Qui Nhon,13.7667,109.2333,76.8,74,99,2.01,VN,1639971082
41,Puerto Ayora,-0.7393,-90.3518,69.46,93,100,6.51,EC,1639971082
42,Mehamn,71.0357,27.8492,28.24,66,100,15.21,NO,1639971083
43,Lompoc,34.6391,-120.4579,51.78,85,75,3.0,US,1639971083
44,Mitsamiouli,-11.3847,43.2844,77.29,73,20,5.75,KM,1639971083
45,Punta Arenas,-53.15,-70.9167,46.51,71,75,16.11,CL,1639971144
46,Provideniya,64.3833,-173.3,32.36,93,90,24.61,RU,1639971144
47,Iqaluit,63.7506,-68.5145,-5.31,76,40,8.01,CA,1639971133
48,Toledo,39.8333,-4.0,48.07,85,82,3.2,ES,1639971144
49,Finspång,58.7058,15.7674,33.31,78,88,8.01,SE,1639971145
50,Klaksvík,62.2266,-6.589,41.92,83,100,10.51,FO,1639971145
51,Bengkulu,-3.8004,102.2655,82.89,61,100,6.17,ID,1639971040
52,Upernavik,72.7868,-56.1549,22.57,71,92,7.09,GL,1639971145
53,Skjervøy,70.0311,20.9714,29.12,69,93,5.88,NO,1639971146
54,Kushikino,31.7167,130.2667,54.86,56,85,5.7,JP,1639971146
55,Marsh Harbour,26.5412,-77.0636,76.14,82,0,12.46,BS,1639971146
56,Port Lincoln,-34.7333,135.8667,70.95,51,13,11.79,AU,1639971146
57,Butaritari,3.0707,172.7902,82.15,74,95,15.61,KI,1639970924
58,Kalmunai,7.4167,81.8167,79.81,75,39,11.77,LK,1639971147
59,Guiratinga,-16.3494,-53.7583,73.0,93,100,0.4,BR,1639971147
60,Pandan,14.0453,124.1694,80.64,88,57,11.12,PH,1639971147
61,Vao,-22.6667,167.4833,77.16,87,69,15.82,NC,1639971148
62,Burgeo,47.6167,-57.6152,22.05,72,98,8.81,CA,1639971148
63,Senneterre,48.3835,-77.2328,-3.78,78,96,5.7,CA,1639971148
64,Richards Bay,-28.783,32.0377,69.01,79,89,5.28,ZA,1639971148
65,Port Alfred,-33.5906,26.891,67.69,89,76,8.79,ZA,1639971148
66,Kambove,-10.8764,26.5969,60.35,96,100,1.21,CD,1639971149
67,Tautira,-17.7333,-149.15,84.22,74,42,13.56,PF,1639971149
68,Torbay,47.6666,-52.7314,24.58,81,90,4.61,CA,1639971149
69,Nanortalik,60.1432,-45.2371,39.07,72,100,28.43,GL,1639971149
70,New Norfolk,-42.7826,147.0587,67.5,51,100,5.99,AU,1639971150
71,San Patricio,28.017,-97.5169,51.82,68,100,11.45,US,1639971150
72,Guerrero Negro,27.9769,-114.0611,59.04,55,1,7.02,MX,1639971151
73,Dunkwa,5.9656,-1.78,71.2,83,25,0.83,GH,1639971151
74,Ghanzi,-21.5667,21.7833,67.23,78,99,4.83,BW,1639971151
75,Pangody,65.85,74.4859,-28.73,86,72,9.95,RU,1639971152
76,Chara,56.9064,118.2631,-24.16,85,82,1.19,RU,1639971152
77,Al Bardīyah,31.7561,25.0865,51.58,63,57,19.53,LY,1639971152
78,Luganville,-15.5333,167.1667,83.55,72,99,1.83,VU,1639971152
79,Bluff,-46.6,168.3333,60.8,82,100,33.82,NZ,1639971152
80,Mataura,-46.1927,168.8643,60.48,93,95,13.29,NZ,1639971153
81,Kapuskasing,49.4169,-82.4331,14.09,79,90,14.97,CA,1639971153
82,Belmonte,-15.8631,-38.8828,77.5,90,99,2.1,BR,1639971154
83,Gunjur,13.2019,-16.7339,77.07,38,87,5.75,GM,1639971154
84,Jamestown,42.097,-79.2353,26.71,91,1,3.44,US,1639971154
85,Zonguldak,41.25,31.8333,34.54,91,95,2.77,TR,1639971154
86,Ponta do Sol,32.6667,-17.1,69.01,92,100,17.09,PT,1639971155
87,Tulsīpur,28.131,82.2973,60.46,37,0,2.95,NP,1639971155
88,Cochrane,51.1834,-114.4687,11.44,72,90,5.75,CA,1639971156
89,Antofagasta,-23.65,-70.4,63.68,85,92,3.06,CL,1639971156
90,São Filipe,14.8961,-24.4956,72.63,80,100,10.02,CV,1639971217
91,Bethel,41.3712,-73.414,28.56,71,1,1.01,US,1639971217
92,Ambovombe,-25.1667,46.0833,70.48,69,90,15.55,MG,1639971217
93,Sinazongwe,-17.2614,27.4618,74.48,83,100,8.21,ZM,1639971217
